"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.5069999694824","35.7519989013672","33.2919998168945","30.6100006103516","33.632999420166","32.859001159668","32.1310005187988","31.4589996337891","30.7339992523193","29.8840007781982","29.1940002441406","33.6860008239746","34.2760009765625","34.1510009765625","34.076000213623","33.9889984130859","34.7750015258789","35.4770011901855","39.7910003662109","44.1279983520508","48.015998840332","52.2799987792969","52.484001159668","52.201000213623","51.9879989624023","52.1940002441406","52.2439994812012","52.226001739502","52.1940002441406",
"Angola","AGO","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.0960006713867","52.8740005493164","52.3089981079102","51.810001373291","52.3370018005371","52.7019996643066","53.2509994506836","53.4529991149902","53.1520004272461","53.4449996948242","53.8639984130859","55.0200004577637","55.4109992980957","55.6220016479492","53.4959983825684","51.7690010070801","49.6710014343262","47.3450012207031","45.9280014038086","43.1949996948242","40.7569999694824","40.8219985961914","41.1720008850098","41.5789985656738","41.8470001220703","41.765998840332","41.8699989318848","41.9959983825684","42.1300010681152",
"Albania","ALB","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8800010681152","38.1300010681152","38.306999206543","38.4640007019043","38.6150016784668","38.7389984130859","38.7910003662109","38.8740005493164","38.9799995422363","39.0839996337891","39.2060012817383","39.3139991760254","39.4339981079102","39.5509986877441","39.6619987487793","39.7630004882813","39.8650016784668","39.9710006713867","38.390998840332","38.0709991455078","36.8740005493164","39.9770011901855","40.6520004272461","40.8409996032715","41.2529983520508","41.8819999694824","42.5130004882813","42.6380004882813","42.7599983215332",
"Andorra","AND","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.7773007722155","45.487046942369","46.0765874854623","46.3667299903446","46.9669103537134","47.4194821400947","47.9053661887569","48.5171974584815","48.8522974308167","49.3985979333534","49.8132117767503","50.5571322377085","50.7833514257438","50.7834084532271","50.8906621115971","50.8685919777878","51.1452193428247","51.138026276857","51.775325596634","51.6522354722197","52.0435642683073","52.2798431076465","52.5969804291709","52.7490194978224","53.0853563436087","52.8795394413528","52.6466288770504","52.7358739077927","52.8517722813548",
"United Arab Emirates","ARE","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.3720016479492","54.3819999694824","54.3209991455078","54.6119995117188","54.742000579834","54.8470001220703","54.7709999084473","54.7400016784668","54.859001159668","54.9780006408691","56.8479995727539","58.8680000305176","60.6319999694824","62.5830001831055","64.2679977416992","65.8629989624023","67.3730010986328","68.5800018310547","68.1559982299805","68.2610015869141","68.556999206543","68.8430023193359","69.088996887207","69.193000793457","69.2789993286133","69.3079986572266","69.3550033569336","69.3850021362305","69.4629974365234",
"Argentina","ARG","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","58.4049987792969","58.4910011291504","61.076000213623","61.5730018615723","64.3960037231445","65.4860000610352","63.8790016174316","64.0120010375977","66.161003112793","67.5139999389648","68.4599990844727","70.7490005493164","69.3639984130859","67.3560028076172","66.5449981689453","66.0309982299805","65.4769973754883","64.9440002441406","65.681999206543","65.4029998779297","65.6800003051758","65.8929977416992","65.0179977416992","64.3610000610352","65.7949981689453","67.0299987792969","68.0770034790039","68.0869979858398","68.0830001831055",
"Armenia","ARM","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.6209983825684","40.5120010375977","40.0219993591309","40.2490005493164","40.7939987182617","41.1080017089844","41.3730010986328","41.3400001525879","41.5709991455078","41.5419998168945","41.6419982910156","41.5550003051758","41.451000213623","41.576000213623","41.3740005493164","41.1749992370605","41.2509994506836","39.8199996948242","38.9179992675781","41.6679992675781","41.2540016174316","42.0810012817383","44.9410018920898","45.9679985046387","45.6500015258789","46.6689987182617","46.7900009155273","46.9469985961914","47.0849990844727",
"American Samoa","ASM","Employment in services, male (% of male employment) (modeled ILO estimate)","SL.SRV.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
