"Data Source","World Development Indicators",

"Last Updated Date","2019-12-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4209995269775","14.8680000305176","11.0989999771118","8.18000030517578","11.6759996414185","10.8039999008179","10.0839996337891","9.5","8.88700008392334","8.18400001525879","7.45100021362305","10.6479997634888","11.085000038147","11.5769996643066","12.9399995803833","13.7180004119873","13.798999786377","13.7629995346069","15.6370000839233","16.0200004577637","16.1499996185303","17.2569999694824","17.488000869751","18.0160007476807","18.4589996337891","18.1870002746582","18.3190002441406","18.5540008544922","18.8780002593994",
"Angola","AGO","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.6949996948242","15.8590002059937","15.9309997558594","16.0809993743896","15.9809999465942","15.9549999237061","15.9750003814697","16.1949996948242","16.1180000305176","16.0769996643066","16.0909996032715","15.871000289917","15.8249998092651","15.91100025177","15.8059997558594","15.5970001220703","15.5050001144409","15.3859996795654","15.1899995803833","15.0170001983643","14.7469997406006","15.0249996185303","15.1569995880127","15.2259998321533","15.2930002212524","15.3229999542236","15.3649997711182","15.4060001373291","15.4569997787476",
"Albania","ALB","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.2569999694824","24.3080005645752","24.2089996337891","24.1989994049072","24.1340007781982","23.9659996032715","24.1490001678467","23.9740009307861","23.7169990539551","23.625","23.5939998626709","23.6609992980957","23.7569999694824","23.8610000610352","23.9710006713867","24.0949993133545","24.2040004730225","24.2689990997314","26.5510005950928","27.6630001068115","24.3269996643066","22.4599990844727","21.8509998321533","21.8129997253418","22.05299949646","22.2880001068115","22.4969997406006","22.5179996490479","22.5620002746582",
"Andorra","AND","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.72605597412","23.6945619092266","23.7909534831471","23.9133347673008","24.0350122294178","24.1329530479766","24.1708873175636","24.062653890013","24.0465313229889","23.6515316349533","23.4979994278026","23.2204098396002","23.3171565968223","23.5458314723506","24.3232354193996","24.8687391099628","25.484757860002","26.0247913580433","26.6189781832254","27.5518840383022","27.1850365570464","27.4308886287712","27.4187299280252","27.4418611876111","27.3912399585319","27.6238814413974","27.7617287584631","27.7246262284749","27.6828730216016",
"United Arab Emirates","ARE","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36.1479988098145","36.2309989929199","36.439998626709","36.2630004882813","36.226001739502","36.1209983825684","36.2779998779297","36.4620018005371","36.2919998168945","36.0620002746582","34.8790016174316","33.4749984741211","32.2890014648438","30.8530006408691","29.6340007781982","28.5009994506836","27.4790000915527","26.6529998779297","27.1749992370605","27.0470008850098","26.7070007324219","26.451000213623","26.2630004882813","26.2180004119873","26.2749996185303","26.3139991760254","26.3020000457764","26.306999206543","26.2700004577637",
"Argentina","ARG","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.1230010986328","41.0540008544922","38.3709983825684","37.8359985351563","34.8160018920898","33.3870010375977","34.9620018005371","34.8499984741211","32.7379989624023","31.5069999694824","30.3229999542236","27.9050006866455","28.9500007629395","30.7880001068115","31.798999786377","32.5349998474121","32.9300003051758","33.2939987182617","32.5120010375977","32.7229995727539","33.4469985961914","33.265998840332","34.0970001220703","34.8230018615723","33.8120002746582","32.7809982299805","31.8320007324219","31.8239994049072","31.8290004730225",
"Armenia","ARM","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24.0690002441406","22.7859992980957","22.9009990692139","23.2849998474121","23.2880001068115","23.238000869751","23.2779998779297","23.7840003967285","23.8400001525879","24.2509994506836","24.5069999694824","25.1749992370605","25.882999420166","26.1319999694824","27.0289993286133","28.0289993286133","28.5419998168945","28.8470001220703","26.9249992370605","26.6599998474121","25.6159992218018","26.5879993438721","26.0459995269775","24.0690002441406","23.0990009307861","22.5590000152588","22.5990009307861","22.55299949646","22.5259990692139",
"American Samoa","ASM","Employment in industry, male (% of male employment) (modeled ILO estimate)","SL.IND.EMPL.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
