"Data Source","World Development Indicators",

"Last Updated Date","2020-02-27",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Canada","CAN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","97.0466690063477","97.0816116333008","97.1345291137695","97.1796722412109","97.2193603515625","97.2722473144531","97.1494064331055","97.2364196777344","97.3281707763672","97.4072799682617","97.4844818115234","97.5502624511719","97.6233291625977","97.6959381103516","97.7605590820313","97.8267669677734","97.9627685546875","97.900749206543","97.9493865966797","97.9962692260742","98.0501937866211","98.0815200805664","98.1226196289063","98.1647796630859","98.1848907470703","98.2192687988281","98.2755737304688","98.5468521118164","98.57707","98.60511","98.62471","98.64193","98.66187","98.68085","98.70102","","","",
"Switzerland","CHE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","90.8001174926758","","","","","","","","","","94.0367126464844","","","","","","","","","","95.64093","","","","","","98.69557","98.49128","","96.53071","","96.16175","","96.74396","","96.33402","","",
"China","CHN","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","51.1368103027344","","","","","","","","68.0720825195313","","","","","","","","","","86.5266","","","","","","","","","","92.71123","","","","","","","","95.15933","",
"Cote d'Ivoire","CIV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.433780670166","","","","","","","","","","28.4766693115234","","38.61451","","","","","","","","","","","","30.46172","","36.78425","","","","40.49937","",
"Cameroon","CMR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","29.1161308288574","","","","","","","","","","","","","","","","","","","","","","","","58.72176","","","","","","","63.02206","","","64.7995","","","","","","","","71.58627","",
"Congo, Dem. Rep.","COD","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.0609","","","","","","46.10425","","","","","62.91864","","","","66.49998","","","",
"Congo, Rep.","COG","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","72.87706","","","","","","","74.61876","",
"Colombia","COL","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.1479034423828","","","91.3140029907227","","","","","","","","92.71463","92.91125","92.2206","92.84562","93.43537","93.41513","93.48679","93.66713","","","94.48466","94.41582","94.89022","","95.31892","",
"Comoros","COM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","40.3176193237305","","","","","","","","","","","","","","","","","","","","63.45902","","","","","","","","","","","","42.63729","","","","","","52.95639","",
"Cabo Verde","CPV","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.9986190795898","","","","","","","","","","","","","","81.46","","","","","","","","80.49622","","","82.04222","","","","",
"Costa Rica","CRI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.5771331787109","","","","","","","","","","","","","","","","95.08079","","","","","","","","","","","97.50041","","","","","","","97.92443","",
"Caribbean small states","CSS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","88.4725036621094","88.52490234375","88.7929000854492","89.0358200073242","89.2784271240234","89.5208206176758","89.3167495727539","90.035530090332","90.3081817626953","90.5541381835938","90.7902374267578","91.0240936279297","91.264762878418","91.4163436889648","92.0736083984375","92.3004837036133","92.4898834228516","92.69158","92.84336","92.72686","92.49816","92.63007","92.72926","","","","",
"Cuba","CUB","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.79092","","","","","","","","","","99.79988","","","","","","","",
"Curacao","CUW","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.02148","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0017776489258","","","","","","","","","95.07966","","","","","","","","","","98.11623","","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Germany","DEU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Djibouti","DJI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominica","DMA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","72.5360794067383","","","","","","","","","","","","","","","","","","","","","87.17709","","","","","88.27717","","","89.6973","90.22557","90.22417","91.25051","92.14779","92.32106","93.76413","","","",
"Algeria","DZA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.8399200439453","","","","","","","","","","","","","","","60.07508","","","","63.91879","","67.54875","","","","","","","","","","75.32297","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","50.1922798156738","50.4172210693359","51.8452796936035","53.3730087280273","54.1249008178711","56.2637214660645","57.4171905517578","59.1404914855957","60.5411109924316","61.8777809143066","63.0764999389648","64.5729522705078","70.4116516113281","71.3949584960938","71.4992599487305","73.0147705078125","73.7421112060547","74.4454803466797","75.1986389160156","75.9446334838867","76.6830825805664","84.7790603637695","85.3146133422852","85.7976837158203","86.4647979736328","86.8630294799805","87.4099807739258","87.9766387939453","88.6957473754883","89.1933135986328","89.7797927856445","91.3339004516602","91.6955413818359","92.1663589477539","92.35005","92.22603","92.52808","92.665","93.26824","93.51076","93.68383","93.9762","94.19083","",
"Early-demographic dividend","EAR","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","37.3705787658691","37.6887016296387","38.3791694641113","39.1150093078613","39.8076400756836","39.9205589294434","40.9993705749512","42.0277214050293","42.8121109008789","43.8344192504883","44.6304702758789","45.4246482849121","46.4042892456055","46.7937393188477","47.6086692810059","48.6790313720703","49.3543586730957","50.3650588989258","51.1533699035645","52.1288108825684","53.1190986633301","54.0381813049316","54.8503303527832","57.7367782592773","58.545539855957","59.4106712341309","60.0646591186523","60.7444496154785","61.7904281616211","62.7422904968262","","63.2812614440918","64.0429534912109","65.1697006225586","66.302978515625","68.28954","68.56123","69.18243","69.95042","70.95109","71.7806","72.57241","73.1967","73.60423","",
"East Asia & Pacific","EAS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","53.0792694091797","53.339599609375","54.6597518920898","56.0761299133301","56.7545204162598","58.7747497558594","59.7900695800781","61.358268737793","62.6403617858887","63.8641815185547","64.9591598510742","66.3736190795898","71.5968475341797","72.5116806030273","72.6263275146484","74.0017395019531","74.6697769165039","75.3144226074219","76.0243988037109","76.7277374267578","77.4209213256836","84.6513519287109","85.1685180664063","85.6668395996094","86.3252487182617","86.6931610107422","87.236442565918","87.8138885498047","88.5335388183594","89.0424270629883","89.6215667724609","91.0466995239258","91.4463119506836","91.8990936279297","92.02332","91.84783","92.1665","92.30774","92.99652","93.24819","93.41968","93.72257","93.93963","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","90.7929000854492","91.875732421875","92.1726989746094","92.37744140625","92.6326217651367","92.9194793701172","93.0822830200195","93.3491973876953","93.4883270263672","93.6714935302734","93.8541107177734","94.0361175537109","94.2214126586914","94.4976501464844","94.6731719970703","95.2021102905273","95.3084182739258","95.3213806152344","95.4298477172852","95.5590896606445","95.6715621948242","95.8849334716797","96.1367492675781","96.0922012329102","96.2452697753906","96.2929534912109","97.1430892944336","97.57649","97.94507","98.14114","98.21795","98.26211","98.30531","98.48434","98.4465","98.51828","",
"Europe & Central Asia","ECS","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1071090698242","94.3045425415039","94.5393524169922","94.71923828125","95.0960998535156","95.2599182128906","95.3525772094727","95.4693374633789","95.6382827758789","95.7576065063477","95.8781967163086","95.8797836303711","96.0571975708008","96.1001586914063","96.2591171264648","96.5760116577148","96.81904","97.2608","97.40974","97.50628","97.57137","97.63621","97.76784","97.78513","97.88237","",
"Ecuador","ECU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","80.4052276611328","","","","","","","","86.1933288574219","","","","","","","","","","","89.69709","","","","","","90.86557","91.12257","90.91755","90.47011","90.22082","90.95168","92.21808","93.25386","93.25662","93.31453","92.08669","","",
"Egypt, Arab Rep.","EGY","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","22.438009262085","","","","","","","","","","31.3926696777344","","","","","","","","","","43.5953102111816","","","","","","","","","","57.81191","","","","63.51581","","65.75666","67.17986","","","","65.50569","","",
"Euro area","EMU","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.22442","","","","","","54.80107","","","","","","","","","","68.94619","",
"Spain","ESP","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","89.9369201660156","","","","","","","","","","95.0510025024414","","","","","","","","","","","","","96.23088","96.92515","","97.26032","96.88684","96.92597","97.0045","97.06557","97.21804","97.44054","97.48735","97.54713","97.69536","","97.97378","",
"Estonia","EST","Literacy rate, adult female (% of females ages 15 and above)","SE.ADT.LITR.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","99.6014785766602","","","","","","","","","","","99.76006","","","","","","","","","","","99.90948","","","","","","","","",
