Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Region
Afghanistan,AFG,11.630000114440902,11.329000473022498,10.6990003585815,10.1920003890991,10.6319999694824,10.482000350952099,10.4029998779297,10.3620004653931,10.3339996337891,10.3059997558594,10.2690000534058,10.845000267028801,10.887000083923303,10.9829998016357,11.1829996109009,11.312000274658198,11.519000053405799,11.6429996490479,11.902000427246099,12.069000244140598,12.2569999694824,12.5380001068115,12.652000427246099,12.796999931335401,12.9259996414185,13.029999732971199,13.1590003967285,13.291999816894501,South Asia
Angola,AGO,46.22200012207029,46.550998687744105,45.7509994506836,46.5579986572266,47.029998779296896,47.576000213623,47.59700012207029,47.5750007629395,48.382999420165994,48.49800109863279,48.370998382568395,48.396999359130895,48.4039993286133,48.8199996948242,48.300998687744105,47.215999603271506,46.4749984741211,45.3689994812012,42.8279991149902,41.353000640869105,39.5979995727539,39.846000671386705,40.013999938964794,39.9980010986328,39.97999954223629,40.185001373291,40.2569999694824,40.3899993896484,Sub-Saharan Africa
Albania,ALB,34.8079986572266,34.1279983520508,34.6370010375977,35.148998260498,35.79600143432621,35.9029998779297,36.0449981689453,36.4609985351563,37.185001373291,37.891998291015604,38.5540008544922,39.1699981689453,39.7750015258789,40.334999084472706,40.8769989013672,41.40700149536129,41.8930015563965,44.959999084472706,47.074001312255895,47.8120002746582,42.0009994506836,40.7389984130859,43.00199890136721,42.1430015563965,39.9140014648438,40.430000305175795,40.9790000915527,41.542999267578104,Europe & Central Asia
United Arab Emirates,ARE,96.8280029296875,96.8030014038086,96.7649993896484,96.77100372314449,96.7770004272461,96.7779998779297,96.7979965209961,96.7649993896484,96.74500274658199,96.7750015258789,96.74500274658199,96.7220001220703,96.73400115966801,96.7379989624023,96.6949996948242,96.43199920654301,95.9980010986328,95.4150009155273,95.52200317382808,95.6910018920898,95.9020004272461,96.0970001220703,96.29299926757808,96.4720001220703,96.6520004272461,96.79199981689449,96.35900115966801,96.37000274658199,Middle East & North Africa
Argentina,ARG,69.5640029907227,68.629997253418,67.2190017700195,68.97000122070311,67.9250030517578,68.44000244140629,69.5370025634766,69.79599761962889,70.02999877929689,69.5830001831055,68.7379989624023,67.088996887207,70.25099945068361,71.2460021972656,71.56700134277341,72.54100036621091,73.2760009765625,73.3059997558594,73.0790023803711,73.609001159668,73.9189987182617,74.1060028076172,73.4509963989258,73.5220031738281,72.98699951171879,72.3730010986328,71.9020004272461,71.8980026245117,Latin America & Caribbean
Armenia,ARM,54.8520011901855,53.130001068115206,51.7089996337891,52.076999664306605,52.226001739502,52.754001617431605,53.17900085449221,53.62300109863279,54.1119995117188,54.7760009765625,55.181999206543,56.0810012817383,57.138999938964794,57.8650016784668,59.00199890136721,59.8740005493164,60.7569999694824,61.3689994812012,60.4360008239746,62.220001220703104,59.1580009460449,60.6599998474121,61.82099914550779,57.058998107910206,57.284000396728494,57.2039985656738,57.5639991760254,57.867000579834006,Europe & Central Asia
Australia,AUS,76.68299865722659,76.3450012207031,76.0230026245117,76.2519989013672,76.4049987792969,76.4000015258789,76.41400146484379,76.2809982299805,76.3939971923828,75.80799865722659,75.43800354003909,75.2539978027344,75.7220001220703,75.9020004272461,76.04100036621091,76.6910018920898,77.5899963378906,77.8919982910156,77.4919967651367,77.4710006713867,78.2269973754883,79.0800018310547,79.3089981079102,79.0240020751953,79.1490020751953,79.140998840332,79.25599670410159,79.286003112793,East Asia & Pacific
Austria,AUT,86.09400177001949,86.12000274658199,86.1019973754883,86.14199829101558,85.6240005493164,85.4449996948242,85.7239990234375,85.6679992675781,85.8789978027344,85.7149963378906,85.681999206543,85.3889999389648,85.73500061035159,85.23899841308591,84.9410018920898,84.8659973144531,84.4700012207031,84.4039993286133,84.2220001220703,83.94200134277341,84.4729995727539,84.66400146484379,84.4789962768555,84.2679977416992,84.6910018920898,84.9059982299805,85.3830032348633,85.4830017089844,Europe & Central Asia
Azerbaijan,AZE,32.5320014953613,31.2450008392334,29.3269996643066,27.895999908447298,27.486999511718803,27.6909999847412,27.8349990844727,27.9039993286133,28.277000427246104,28.8530006408691,29.250999450683604,29.7450008392334,30.238000869751,30.649999618530302,32.277999877929695,34.173000335693395,35.5579986572266,35.931999206543004,35.726001739502,35.2729988098145,34.666999816894496,37.415000915527294,37.5449981689453,37.2550010681152,36.689998626709,36.0499992370605,35.89500045776371,36.04600143432621,Europe & Central Asia
Burundi,BDI,8.34099960327148,8.296999931335451,8.22799968719482,8.19200038909912,8.04100036621094,7.874000072479251,7.87099981307983,7.869999885559079,7.84600019454956,7.83699989318848,7.81500005722046,7.78999996185303,7.8270001411438,7.76599979400635,7.8270001411438,7.82800006866455,7.8260002136230495,7.8270001411438,7.868000030517581,7.877999782562259,7.8979997634887695,7.9439997673034695,7.9889998435974094,8.01599979400635,7.92999982833862,7.92199993133545,7.90999984741211,7.90500020980835,Sub-Saharan Africa
Belgium,BEL,81.5540008544922,81.2030029296875,80.7990036010742,80.6890029907227,81.0029983520508,80.56700134277341,81.3010025024414,80.9800033569336,81.81500244140629,82.2990036010742,83.1959991455078,83.1220016479492,83.03900146484379,82.9909973144531,82.4909973144531,82.3919982910156,82.59300231933591,83.00599670410159,82.3399963378906,82.7119979858398,82.5380020141602,82.4530029296875,81.2259979248047,82.1490020751953,81.2639999389648,81.5699996948242,82.6289978027344,82.65699768066409,Europe & Central Asia
