Region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific,55.052034575363685,55.232517110890356,55.34258625425142,55.576620693864484,55.75731034114444,56.101586045890016,56.15644796963396,56.027276269320794,56.0551380289012,56.09962127948629,56.19379326392864,55.84827600676438,55.459792959279035,55.2033445424047,55.186654715702446,55.17499969745505,55.40017252954943,55.427827440459154,55.39289665222169,55.26682781351024,55.52893079560378,55.48155218979408,55.4574484989561,55.48517233749915,55.37506866455078,55.19203449117726,55.10579332812079,55.02603425650761
Europe & Central Asia,49.554285866873606,49.62234683912627,49.351673710102936,49.46953061162209,49.40271432059152,49.35218367284659,49.404367330122966,49.53395917464276,49.863224496646794,49.87210207569356,49.90220416322046,49.961734888504964,50.025388016992686,50.01953051041585,50.123122234733735,50.39565323810188,50.57359185510752,50.743551020719565,50.77883669794822,50.835469654628206,50.898469341044525,51.10975499055824,51.15383685365015,51.31448983172981,51.62281608581543,51.57891822347835,51.745591650203785,51.62318385377222
Latin America & Caribbean,44.41951634806971,44.96019363403321,45.47577408821352,45.863032187184984,46.25670943721648,46.45399991927609,46.996741510206654,47.47212908344885,47.6976450027958,47.63203233288181,48.10583889868952,48.39454835461032,48.81103207988124,49.51903238604147,49.96245119648595,50.27380654119676,50.48635482788086,50.91693545926002,51.11170984083606,51.09003202376827,51.141451804868645,51.79125767369423,51.82193559215914,51.73212888163905,51.63603235060169,52.02106451219128,52.07029035014491,52.14729026056105
Middle East & North Africa,23.451380911327554,23.64257144927978,23.957333156040747,24.321095466613777,24.56890483129592,24.617571376618884,24.677714484078532,24.824666659037273,25.34157144455682,25.66957160404751,25.63304760342553,25.79123837607248,26.139047622680664,26.280619030907037,26.6039525440761,26.89728582473029,27.44371409643264,27.503666469029028,27.87161913372222,28.23985708327521,28.682666960216704,28.99738093784877,29.342523847307483,29.73547640300932,30.032428151085274,30.259047894250777,30.28499977929251,30.26347591763451
North America,56.951000213623054,56.8700008392334,56.82800102233885,57.260499954223654,57.3384990692139,57.46950149536136,57.9075012207031,58.222000122070305,58.564498901367195,58.837499618530245,58.879499435424854,59.357999801635756,59.800500869751005,59.704999923706055,59.5869998931885,59.7680015563965,60.074998855590806,60.223499298095696,60.00900077819825,59.6800003051758,59.2655010223389,59.1564998626709,58.98799896240236,58.599000930786154,58.302000045776396,58.4004993438721,58.6644992828369,58.44650077819824
South Asia,38.839750766754165,38.580375313758836,38.82974910736084,39.20187485218048,38.89650022983552,39.2386246919632,39.64474952220919,40.77812480926515,40.708124995231636,41.069000482559204,41.383124709129355,41.7562494277954,42.222125053405776,42.67300033569337,43.044375658035285,43.0433759689331,43.04637455940247,43.070499420166,43.24362492561341,42.861749410629294,42.69800019264221,42.81112504005433,42.87137508392335,42.723749637603774,43.174124002456665,43.13524985313415,43.529000043869004,43.6029999256134
Sub-Saharan Africa,59.26351060258581,59.30031938755766,59.37836184400193,59.47891450435557,59.5867019409829,59.65340399234853,59.70602120744421,59.76085098753584,59.81572345977134,59.89278740578509,59.9231917604487,59.96617057475637,59.98255396903829,60.013255017869014,60.094935802703205,60.1395535164691,60.07246804744639,60.024383098521135,59.914744194517745,59.77419118678316,59.75844659196569,59.81740448322702,60.03048929255059,60.046552658081055,60.179680844570726,60.255936358837374,60.42889351540423,60.46740434524861
