Country Name,Country Code,Region,Mean Salaries Male,Mean Salaries Female,Mean Unemployment Male,Mean Unemployment Female
Afghanistan,AFG,South Asia,11.486857209886821,3.4048214299338206,2.724928557872772,2.7707142744745528
Angola,AGO,Sub-Saharan Africa,44.9122497013637,19.5259645325797,14.643321343830658,17.55403554439545
Albania,ALB,Europe & Central Asia,39.66471413203649,36.5731782913208,16.37728558267866,16.36782142094202
United Arab Emirates,ARE,Middle East & North Africa,96.47978646414619,98.72982161385673,1.9457142778805327,4.57932140997478
Argentina,ARG,Latin America & Caribbean,71.01978628976005,77.63517897469657,9.952357172966002,12.530178615025106
Armenia,ARM,Europe & Central Asia,56.82071454184396,50.32282134464809,10.711857208183835,14.224678431238447
Australia,AUS,East Asia & Pacific,77.17749977111816,86.0428932734898,6.694285724844251,6.523642846516201
Austria,AUT,Europe & Central Asia,85.20535687037875,88.2423929486956,4.870571451527732,4.875892852033887
Azerbaijan,AZE,Europe & Central Asia,32.479785714830676,25.65410709381104,6.239214318139213,7.181714385747912
Burundi,BDI,Sub-Saharan Africa,7.934392826897757,2.8283928121839255,2.2691428661346436,1.3603214323520663
Belgium,BEL,Europe & Central Asia,82.02064323425293,87.14296422685895,7.081250020435879,8.991035682814463
Benin,BEN,Sub-Saharan Africa,12.984642744064326,3.9686071446963718,1.577642849513463,1.200357138046197
Burkina Faso,BFA,Sub-Saharan Africa,10.03478573049818,5.091250010899135,3.098857130323137,4.951892861298153
Bangladesh,BGD,South Asia,39.94017832619802,20.907214300973077,3.1103928514889314,4.862321436405182
Bulgaria,BGR,Europe & Central Asia,82.98207146780831,88.8838928767613,11.90964286667959,11.081142868314467
Bahrain,BHR,Middle East & North Africa,95.80285699026925,97.94025012425014,0.3670357141111578,3.702607129301343
"Bahamas, The",BHS,Latin America & Caribbean,81.5525711604527,90.26839256286621,10.351964235305777,12.244678667613437
Bosnia and Herzegovina,BIH,Europe & Central Asia,71.97374997820172,72.23292895725794,22.708178452083043,28.59003557477678
Belarus,BLR,Europe & Central Asia,94.00771359034948,97.70875004359654,10.771464249917434,7.220071445618353
Belize,BLZ,Latin America & Caribbean,66.53742844717843,72.2269641331264,7.372321418353491,16.82235710961478
Bolivia,BOL,Latin America & Caribbean,40.090786116463796,28.14014278139388,2.4581785925797055,3.7483571256910038
Brazil,BRA,Latin America & Caribbean,62.66721398489816,69.03760719299316,6.89075003351484,10.77925000871931
Barbados,BRB,Latin America & Caribbean,80.96457181658063,89.68274988446917,11.170321481568477,14.353285721370154
Brunei Darussalam,BRN,East Asia & Pacific,92.67042813982282,94.28221402849469,5.274678562368666,7.701607193265642
Bhutan,BTN,South Asia,31.615750108446395,16.31292850630624,1.7944999975817548,2.8241785722119466
Botswana,BWA,Sub-Saharan Africa,70.86917877197266,66.50178527832031,16.231607062476023,21.771928514753064
Central African Republic,CAF,Sub-Saharan Africa,8.223964333534239,2.348392878259932,6.483285767691476,7.80935708114079
Canada,CAN,North America,80.90921374729702,88.3196781703404,8.298428620610915,7.377607124192375
Switzerland,CHE,Europe & Central Asia,81.53575052533832,85.89339256286621,3.53164284995624,4.329035793031966
Channel Islands,CHI,Europe & Central Asia,81.10117857796806,89.08603531973702,7.455714310918536,8.224571432386126
Chile,CHL,Latin America & Caribbean,69.26489230564663,73.70428603036065,6.906678506306242,9.384500009672985
China,CHN,East Asia & Pacific,45.511857169015066,39.5687142099653,4.337821389947619,3.402035704680851
Cote d'Ivoire,CIV,Sub-Saharan Africa,28.742142745426715,10.671535696302142,4.8761071009295325,5.208107105323246
Cameroon,CMR,Sub-Saharan Africa,27.616392680576872,9.508392810821528,5.816107077257974,5.211071423121861
"Congo, Dem. Rep.",COD,Sub-Saharan Africa,20.46864284787859,5.58832141331264,3.9697142924581246,2.6638571534838005
"Congo, Rep.",COG,Sub-Saharan Africa,34.078035899571006,7.926500013896399,15.525285584586005,17.75539289202009
Colombia,COL,Latin America & Caribbean,47.20403575897217,50.48682171957834,9.14657144887107,15.050785677773602
Comoros,COM,Sub-Saharan Africa,38.804357528686516,16.346392869949344,4.053928596632821,4.63399999482291
Cabo Verde,CPV,Sub-Saharan Africa,62.984999656677246,55.03410720825195,10.967464412961688,11.738357135227755
Costa Rica,CRI,Latin America & Caribbean,70.6387860434396,76.22828619820731,5.541214304310935,8.438142895698544
Cuba,CUB,Latin America & Caribbean,88.94896371023995,95.11385781424386,3.212535721915109,6.04732143027442
Cyprus,CYP,Europe & Central Asia,74.39725085667202,85.43835721697126,6.081464286361422,7.01757141521999
Czech Republic,CZE,Europe & Central Asia,81.29428509303501,89.57807132175991,4.794142842292786,6.8733571852956485
Germany,DEU,Europe & Central Asia,86.7081435067313,91.71553584507534,7.289142915180754,7.6263571296419395
Djibouti,DJI,Middle East & North Africa,53.79335744040353,39.3726784842355,11.952071462358745,13.212678670883179
Denmark,DNK,Europe & Central Asia,87.74803515842984,94.22385733468192,5.713392802647183,6.566678549562182
Dominican Republic,DOM,Latin America & Caribbean,49.18900012969971,68.55392973763603,4.492285736969539,9.782392910548623
Algeria,DZA,Middle East & North Africa,64.45582185472762,67.47939314161029,18.057571479252395,21.63653578077043
Ecuador,ECU,Latin America & Caribbean,58.607214518955786,44.91850021907262,3.551035719258444,5.472107163497381
"Egypt, Arab Rep.",EGY,Middle East & North Africa,61.82221439906528,55.03067834036691,6.908749972070966,22.247714315141945
Eritrea,ERI,Sub-Saharan Africa,25.153571673801967,10.79975002152579,6.266642842973981,7.20849997656686
