Region,Male,Female,Male Normalized,Female Normalized
East Asia & Pacific,75.18113918962149,55.52170566972254,57.52066014364702,42.47933985635299
Europe & Central Asia,67.38084907364916,50.35116182888909,57.232394619870085,42.76760538012992
Latin America & Caribbean,77.53827307740664,49.152177377779914,61.20293423759969,38.797065762400315
Middle East & North Africa,76.05428744335565,26.82408675206762,73.92640876972477,26.073591230275234
North America,71.95308930533272,58.68417869295393,55.07853188285934,44.92146811714065
South Asia,80.8456472669329,41.667035643543514,65.9896145821973,34.01038541780269
Sub-Saharan Africa,75.59987163833573,59.88310180681453,55.80027490977826,44.19972509022173
