Region,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
East Asia & Pacific,77.26548319849475,77.26913820464036,77.24172381697029,77.20520716700061,77.23303406814048,77.39127573473701,77.22717232539736,77.03655124532766,76.74493079349912,76.44568962886417,76.35586218998351,75.96093092293575,75.49037880733096,75.26710378712622,74.95410274637157,74.73910338303139,74.54524165186389,74.23313759113181,73.96596592870252,73.68455150209624,73.6741030462857,73.4900007576778,73.33162070964944,73.22762088117928,73.0930352046572,72.78382807764514,72.66458708664467,72.55051685201711
Europe & Central Asia,70.11659162871692,69.7061021765884,69.25604107915139,68.96120421740474,68.77032634190152,68.44363270973673,68.17706150911293,68.06583669234296,67.9139995964206,67.65985722444495,67.36344909667969,67.01389795420121,66.83814286212532,66.69479564744599,66.72818343493404,66.80148930452307,66.90328551311882,66.95167362446688,66.58891786847796,66.40655073827627,66.28691832873287,66.33177527602838,66.25638798304966,66.38785747605927,66.49461247969647,66.53118351527623,66.61544885440749,66.39855092885543
Latin America & Caribbean,78.75764477637506,78.76993486958166,78.8577746729697,78.92138745707851,78.90735453944052,78.66583879532352,78.70309694351688,78.70193530667213,78.41777469265845,78.11880653135238,77.97867744199691,77.775451290992,77.60458078692037,77.68487118136498,77.4947750952936,77.55158098282352,77.48561317689958,77.35606433499244,77.17135484756962,76.75612911101311,76.49825779084236,76.59441794118574,76.33458045221144,76.160645023469,76.0420645436933,75.89735523346931,75.97122623074439,75.89245211693549
Middle East & North Africa,77.91514260428292,77.73438044956754,77.84747677757626,77.81195213681177,77.71952383858817,77.26428549630302,76.9249525524321,76.59633382161458,76.47590491885231,76.38223811558315,75.93519047328404,75.49266742524647,75.4490479968843,75.32528577532086,75.27466655912853,74.94509560721261,74.85947636195591,74.82157135009764,75.00852348690941,75.31738172258649,75.40509505498977,75.44380914597284,75.5759524390811,75.64133271716891,75.72347586495536,75.59052421933129,75.52861858549572,75.51014291672479
North America,74.81550216674805,74.24850082397461,73.82149887084964,73.61149978637695,73.2925033569336,73.13700103759768,73.20549774169919,73.10750198364255,73.21200180053711,73.17599868774415,72.8554992675781,72.96599960327146,72.8404998779297,72.59549713134766,72.38899993896484,72.21549987792966,72.19350051879886,72.19199752807614,71.27300262451169,70.6879997253418,70.32199859619145,70.13999938964845,69.88800048828125,69.49749755859375,69.44250106811526,69.33349990844725,69.25500106811525,68.9720001220703
South Asia,82.89712429046632,82.53887462615968,82.26612472534181,82.09912490844727,81.63512516021729,81.59900093078615,81.53524971008301,81.4508752822876,81.40875053405762,81.10524940490721,80.98999977111818,80.93937492370607,80.99212455749512,81.08749961853027,81.03725242614746,80.79437446594238,80.66849899291991,80.53662490844727,80.4739990234375,80.21762561798094,79.88950061798097,79.21475028991699,79.99724960327148,79.75337409973143,79.84825038909912,79.55187511444092,79.57775020599365,79.5724992752075
Sub-Saharan Africa,78.1467876840145,78.06248928638216,77.89961713425656,77.7005106337527,77.43753116688829,77.19834088264628,76.93382944959275,76.74070187832447,76.51140497085896,76.26933994699031,76.1095316460792,75.94002151489258,75.76504289343002,75.60391495075632,75.45821315684218,75.32368104001308,75.11385126316802,74.92878739377285,74.67436177679834,74.34229798012592,74.23608536415912,74.11219138287484,74.03510657777177,73.85478713664602,73.73355370379508,73.63421281855157,73.5214037793748,73.50880846064142
