Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Region
Afghanistan,AFG,3.17499995231628,3.10199999809265,3.13700008392334,3.2709999084472696,2.96799993515015,3.0699999332427996,3.10700011253357,3.1589999198913596,3.2300000190734903,3.3199999332427996,3.44400000572205,3.03800010681152,3.1389999389648398,3.20499992370605,3.22000002861023,3.25999999046326,3.25200009346008,3.3289999961852996,3.3280000686645494,3.40499997138977,3.49300003051758,3.59899997711182,3.72399997711182,3.8440001010894798,3.96300005912781,4.0770001411438,4.19399976730347,4.28200006484985,South Asia
Angola,AGO,19.9699993133545,20.256999969482397,19.840000152587898,20.364000320434602,20.6609992980957,21.054000854492198,21.1040000915527,21.118999481201197,21.729000091552702,21.8369998931885,21.766000747680696,21.7670001983643,21.8229999542236,22.117000579834,21.6590003967285,20.857000350952102,20.3290004730225,19.6380004882813,18.122999191284197,17.3540000915527,16.502000808715803,16.6100006103516,16.6860008239746,16.6480007171631,16.620000839233402,16.7310009002686,16.753999710083,16.8080005645752,Sub-Saharan Africa
Albania,ALB,30.354000091552702,30.402999877929698,31.122999191284197,31.886999130249,32.7430000305176,33.173000335693395,33.5130004882813,34.0180015563965,34.7319984436035,35.4749984741211,36.298000335693395,37.2109985351563,38.1749992370605,39.1259994506836,40.069999694824205,41.0069999694824,41.918998718261705,32.766998291015604,34.7569999694824,36.9469985961914,34.728000640869105,32.0069999694824,37.1180000305176,40.7649993896484,42.5410003662109,43.1310005187988,43.7400016784668,44.32099914550779,Europe & Central Asia
United Arab Emirates,ARE,98.8000030517578,98.7900009155273,98.7760009765625,98.7760009765625,98.7770004272461,98.7760009765625,98.7819976806641,98.77100372314449,98.7620010375977,98.7699966430664,98.7610015869141,98.7509994506836,98.75399780273442,98.75399780273442,98.7389984130859,98.8690032958984,98.97000122070308,99.0550003051758,99.0009994506836,98.9530029296875,98.91400146484379,98.875,98.8379974365234,98.7979965209961,98.76000213623051,98.7129974365234,97.5670013427734,97.58300018310551,Middle East & North Africa
Argentina,ARG,71.3850021362305,72.5,71.2760009765625,72.1029968261719,74.8919982910156,74.31500244140629,75.0179977416992,75.4929962158203,75.8560028076172,76.4049987792969,76.1220016479492,78.1179962158203,78.8010025024414,78.9970016479492,79.4670028686523,80.2289962768555,80.9280014038086,80.8160018920898,80.1449966430664,80.6600036621094,81.3160018920898,81.286003112793,80.8960037231445,80.53900146484379,79.8889999389648,79.181999206543,78.5699996948242,78.5810012817383,Latin America & Caribbean
Armenia,ARM,46.3499984741211,44.334999084472706,44.451000213623,45.047000885009794,45.109001159668,45.332000732421896,45.5750007629395,46.0309982299805,46.3520011901855,46.9370002746582,47.37699890136721,48.27799987792971,49.2610015869141,49.976001739502,51.229000091552706,52.266998291015604,53.41999816894529,54.077999114990206,52.6259994506836,50.1440010070801,51.4249992370605,51.7760009765625,51.8390007019043,54.4469985961914,57.1059989929199,59.0410003662109,59.47200012207029,59.757999420165994,Europe & Central Asia
Australia,AUS,84.625,84.6750030517578,84.3779983520508,84.4810028076172,84.7379989624023,84.9260025024414,84.4240036010742,85.0920028686523,85.6060028076172,85.4359970092773,85.3290023803711,85.2239990234375,85.63999938964841,85.9240036010742,85.6949996948242,86.40599822998051,86.76000213623051,86.6139984130859,86.9219970703125,86.7210006713867,87.052001953125,87.3379974365234,87.78099822998051,87.4410018920898,87.4380035400391,87.41100311279301,87.5619964599609,87.5619964599609,East Asia & Pacific
Austria,AUT,86.20700073242192,86.2570037841797,86.197998046875,86.28900146484379,85.9120025634766,85.7229995727539,86.7030029296875,86.8949966430664,86.9029998779297,87.4889984130859,87.7360000610352,87.8889999389648,88.4919967651367,90.1449966430664,89.6060028076172,89.4749984741211,88.5370025634766,88.90599822998051,88.8570022583008,88.8000030517578,89.33200073242192,89.5260009765625,89.4589996337891,89.4889984130859,89.6230010986328,89.9589996337891,90.1569976806641,90.2229995727539,Europe & Central Asia
Azerbaijan,AZE,25.8719997406006,24.9230003356934,23.377000808715803,22.2159996032715,21.878999710082997,22.011999130249,22.1280002593994,22.212999343872102,22.5200004577637,23.027999877929698,23.374000549316396,23.788999557495103,24.212999343872102,24.5769996643066,25.8659992218018,27.419000625610398,28.6189994812012,29.0139999389648,28.871000289917003,28.3460006713867,28.568000793457,28.945999145507802,29.1569995880127,28.507999420166,27.368000030517603,27.2880001068115,27.051000595092802,27.1730003356934,Europe & Central Asia
Burundi,BDI,2.8359999656677206,2.83699989318848,2.84299993515015,2.8440001010894798,2.82699990272522,2.7969999313354506,2.7909998893737797,2.78200006484985,2.78699994087219,2.7909998893737797,2.7899999618530296,2.7839999198913596,2.8029999732971205,2.77999997138977,2.8020000457763703,2.8020000457763703,2.80699992179871,2.80599999427795,2.82500004768372,2.82699990272522,2.83899998664856,2.85599994659424,2.86899995803833,2.88299989700317,2.88599991798401,2.89299988746643,2.8989999294281,2.9089999198913596,Sub-Saharan Africa
Belgium,BEL,84.6470031738281,83.59300231933591,84.03199768066409,84.6679992675781,83.6330032348633,84.1579971313477,84.94000244140629,84.9899978637695,83.9860000610352,86.2239990234375,86.9720001220703,86.5230026245117,87.2580032348633,88.33300018310551,87.73999786376949,88.1920013427734,88.4619979858398,89.23699951171879,88.7220001220703,89.2129974365234,89.5260009765625,89.5149993896484,89.2979965209961,89.14600372314449,88.9290008544922,89.3730010986328,89.33999633789058,89.35299682617192,Europe & Central Asia
