Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Region
Afghanistan,AFG,3.20499992370605,3.4149999618530296,3.74399995803833,3.8970000743866002,3.9079999923706095,3.8989999294281,3.8589999675750697,3.7839999198913596,3.86199998855591,3.7699999809265097,3.67600011825562,3.7839999198913596,3.6489999294281,3.2639999389648398,3.08899998664856,3.0050001144409197,2.13899993896484,2.64599990844727,2.3350000381469704,1.96099996566772,1.52600002288818,1.13900005817413,1.17499995231628,1.1970000267028797,1.14600002765656,1.1089999675750701,1.0590000152587902,1.0559999942779499,South Asia
Angola,AGO,20.75,19.0319995880127,19.548999786377,19.3330001831055,18.923999786377,17.673999786377,19.1660003662109,18.122999191284197,18.6700000762939,20.742000579834002,20.909000396728498,21.497999191284197,21.5189990997314,21.246000289917,18.496000289917,16.0259990692139,13.312000274658198,11.0279998779297,9.86400032043457,8.62399959564209,7.006999969482419,6.985000133514401,7.05900001525879,7.02699995040894,6.861999988555911,6.92199993133545,6.78399991989136,6.881999969482419,Sub-Saharan Africa
Albania,ALB,17.1350002288818,17.9640007019043,17.6200008392334,17.2999992370605,17.3659992218018,18.125,18.260999679565398,18.2040004730225,18.256000518798803,17.4409999847412,17.097999572753903,17.2040004730225,17.2019996643066,16.9629993438721,16.548999786377,16.0739994049072,15.6490001678467,12.548999786377001,12.2069997787476,12.7629995346069,13.2729997634888,14.786999702453599,17.6520004272461,19.1089992523193,17.0669994354248,15.692999839782699,14.6009998321533,14.4519996643066,Europe & Central Asia
United Arab Emirates,ARE,1.5230000019073502,1.6419999599456798,1.75100004673004,1.75,1.7269999980926498,1.81400001049042,1.8960000276565598,1.9800000190734899,2.13499999046326,2.18600010871887,2.27099990844727,2.46399998664856,2.56699991226196,2.57999992370605,2.5550000667572,2.23200011253357,1.9529999494552601,1.86699998378754,2.24000000953674,2.2249999046325697,2.01699995994568,1.91199994087219,1.7960000038147,1.5759999752044698,1.3680000305175801,1.17499995231628,1.57200002670288,1.7059999704361,Middle East & North Africa
Argentina,ARG,5.242000102996831,6.127999782562259,8.43000030517578,10.260000228881802,16.4440002441406,15.6429996490479,12.7980003356934,11.6479997634888,13.255000114440902,14.0260000228882,17.4120006561279,20.125,13.8009996414185,11.888999938964801,10.0450000762939,8.41600036621094,6.997000217437741,6.5170001983642605,7.78599977493286,6.67899990081787,6.25799989700317,6.09299993515015,6.130000114440921,6.493000030517581,6.86899995803833,7.20300006866455,7.53499984741211,8.54399967193604,Latin America & Caribbean
Armenia,ARM,1.09599995613098,1.3120000362396202,3.5460000038147004,4.96500015258789,3.75200009346008,4.609000205993651,5.42000007629395,5.750999927520749,7.71600008010864,8.24600028991699,8.85700035095215,9.33899974822998,9.51399993896484,10.0450000762939,10.0740003585815,9.94600009918213,9.85099983215332,16.1609992980957,17.7709999084473,17.0900001525879,17.3659992218018,16.5160007476807,14.4180002212524,15.7530002593994,17.3889999389648,17.7310009002686,18.145000457763697,17.55299949646,Europe & Central Asia
Australia,AUS,9.88599967956543,11.3050003051758,11.5069999694824,9.98099994659424,8.74100017547607,8.71000003814697,8.58199977874756,7.94000005722046,7.03599977493286,6.45499992370605,6.9770002365112305,6.53000020980835,5.88899993896484,5.282000064849849,4.88000011444092,4.6680002212524405,4.0430002212524405,3.95700001716614,5.69299983978271,5.0760002136230495,4.89599990844727,5.1399998664856,5.7069997787475595,5.999000072479251,6.04199981689453,5.65100002288818,5.53000020980835,5.336999893188481,East Asia & Pacific
Austria,AUT,3.3340001106262203,3.4609999656677206,4.07000017166138,3.2100000381469704,3.92600011825562,5.33900022506714,5.0560002326965305,5.46799993515015,4.65299987792969,4.75899982452393,3.91300010681152,5.10599994659424,5.13000011444092,5.78599977493286,5.4369997978210405,4.94299983978271,4.48799991607666,3.89000010490417,5.48600006103516,4.984000205993651,4.5460000038147,4.93400001525879,5.369999885559079,5.82800006866455,6.08500003814697,6.42600011825562,5.90799999237061,4.84000015258789,Europe & Central Asia
Azerbaijan,AZE,0.7749999761581421,1.63300001621246,4.21400022506714,6.00799989700317,6.78599977493286,7.56599998474121,8.38300037384033,9.21500015258789,10.0699996948242,10.956000328064,10.3360004425049,9.67199993133545,9.25899982452393,7.9520001411438,7.2519998550415,6.88299989700317,7.724999904632571,7.09299993515015,4.9439997673034695,4.40000009536743,4.4310002326965305,4.32299995422363,4.037000179290771,4.01900005340576,4.087999820709229,4.13500022888184,4.11800003051758,4.425000190734861,Europe & Central Asia
Burundi,BDI,1.9440000057220501,1.89400005340576,1.9349999427795401,2.25,2.33899998664856,2.2279999256134,2.4719998836517303,2.4679999351501496,2.5409998893737797,2.62700009346008,2.5789999961852996,2.64100003242493,2.5840001106262203,2.55800008773804,2.4679999351501496,2.31800007820129,2.1630001068115203,2.1640000343322803,2.31399989128113,2.30100011825562,2.2609999179840097,2.19600009918213,2.14199995994568,2.02600002288818,2.0729999542236297,2.03500008583069,1.98699998855591,2.0280001163482697,Sub-Saharan Africa
