Country Name,Country Code,Region,Mean Unemployment Male,Mean Unemployment Female
Kenya,KEN,Sub-Saharan Africa,8.151321394102913,11.196071318217681
Kyrgyz Republic,KGZ,Europe & Central Asia,6.498071400182589,8.538321431194033
Cambodia,KHM,East Asia & Pacific,1.6359642871788567,1.820928590638297
"Korea, Rep.",KOR,East Asia & Pacific,3.8143214157649448,3.051714305366789
Kuwait,KWT,Middle East & North Africa,0.811500001166548,2.9497857051236296
Lao PDR,LAO,East Asia & Pacific,1.511571428605489,1.420964283602579
Lebanon,LBN,Middle East & North Africa,6.808892829077584,10.10560716901507
Liberia,LBR,Sub-Saharan Africa,2.369678552661623,2.3975714445114136
Libya,LBY,Middle East & North Africa,16.706178665161136,26.544464179447726
St. Lucia,LCA,Latin America & Caribbean,15.840857028961173,22.317678655896867
Sri Lanka,LKA,South Asia,5.634464332035611,12.241321461541308
Lesotho,LSO,Sub-Saharan Africa,25.24785716193062,37.69335685457503
Lithuania,LTU,Europe & Central Asia,12.138214285884589,10.094678544572416
Luxembourg,LUX,Europe & Central Asia,3.4064285882881715,4.888321425233569
Latvia,LVA,Europe & Central Asia,13.411214300564358,11.644178594861714
"Macao SAR, China",MAC,East Asia & Pacific,4.058785745075771,2.8905356952122276
Morocco,MAR,Middle East & North Africa,11.134928498949327,11.408000060490194
Moldova,MDA,Europe & Central Asia,7.395892807415555,4.791749975511006
Madagascar,MDG,Sub-Saharan Africa,3.3995714081185207,4.047857144049235
Maldives,MDV,South Asia,2.7177142926624844,3.6019642565931593
Mexico,MEX,Latin America & Caribbean,3.6683571125779815,4.615749980722155
North Macedonia,MKD,Europe & Central Asia,31.391535622732988,33.672000067574636
Mali,MLI,Sub-Saharan Africa,6.067678579262326,7.842571445873807
Malta,MLT,Middle East & North Africa,6.053142888205391,6.868821467672076
Myanmar,MMR,East Asia & Pacific,0.9651785790920251,1.2263928609234944
Montenegro,MNE,Europe & Central Asia,22.531535727637145,27.825143132890968
Mongolia,MNG,East Asia & Pacific,6.150535702705383,5.689642863614219
Mozambique,MOZ,Sub-Saharan Africa,3.7264999747276306,2.4965357269559583
Mauritania,MRT,Sub-Saharan Africa,9.97728565761021,13.707535743713402
Mauritius,MUS,Sub-Saharan Africa,6.056928617613656,12.498178550175263
Malawi,MWI,Sub-Saharan Africa,5.32407145840781,9.018035701342992
Malaysia,MYS,East Asia & Pacific,3.1408214398792818,3.611535719462803
Namibia,NAM,Sub-Saharan Africa,19.36728583063397,22.7333928516933
New Caledonia,NCL,East Asia & Pacific,13.852249962942937,18.656607287270685
Niger,NER,Sub-Saharan Africa,1.494428576103278,0.9144285672477317
Nigeria,NGA,Sub-Saharan Africa,4.277357135500226,3.9654999801090787
Nicaragua,NIC,Latin America & Caribbean,6.1324643066951205,6.945892861911228
Netherlands,NLD,Europe & Central Asia,4.388607178415572,5.707642887319838
Norway,NOR,Europe & Central Asia,4.337678534643991,3.850571453571319
Nepal,NPL,South Asia,1.8243214360305235,1.3889642740998955
New Zealand,NZL,East Asia & Pacific,6.07149998630796,6.260892851012094
Oman,OMN,Middle East & North Africa,3.5480714610644752,9.735178606850756
Pakistan,PAK,South Asia,1.131928572697299,1.346321436443499
Panama,PAN,Latin America & Caribbean,2.976357157741273,5.02142857653754
Peru,PER,Latin America & Caribbean,4.3680357166699,4.692750011171613
Philippines,PHL,East Asia & Pacific,3.3061428580965315,3.745607120650154
Papua New Guinea,PNG,East Asia & Pacific,3.474678567477636,1.6581428476742353
Poland,POL,Europe & Central Asia,11.117214228425718,12.91042852401734
Puerto Rico,PRI,Latin America & Caribbean,14.682357140949794,10.765035731451857
